frame,frame_ms,eye_x,eye_y,eye_z,step_m,yaw_step_deg,visual_error_m,body_x,body_z,gc0,gc1,gc2,phys_ticks,proc_ms,phys_proc_ms
46,506.7110,2.35837,1.04080,-0.35954,0.341398,6.01770,0.00000,2.35892,-0.34189,2,2,1,8,236.5690,2.9180
47,251.9310,2.36761,1.04080,-0.06203,0.297658,6.40118,0.00000,2.36886,-0.02205,2,2,1,8,236.5690,2.9180
48,254.5920,2.37755,1.04080,0.25782,0.320000,5.58112,0.00000,2.37879,0.29780,2,2,1,8,489.1410,3.1060
49,513.8510,2.38873,1.04080,0.61764,0.360000,6.00000,0.00000,2.38873,0.61764,2,2,1,8,489.1410,3.1060
50,244.8760,2.39800,1.04080,0.91632,0.298822,6.75000,0.00000,2.39866,0.93749,2,2,1,8,489.3360,3.1000
51,258.1570,2.40736,1.04080,1.21735,0.301179,5.60291,0.00000,2.40860,1.25733,2,2,1,8,489.3360,3.1000
52,494.3130,2.41805,1.04080,1.56165,0.344462,5.64709,0.00000,2.41853,1.57718,2,2,1,8,489.3360,3.1000
53,536.1920,2.42796,1.04080,1.88069,0.319198,6.45865,0.00000,2.42847,1.89703,2,2,1,8,513.5290,2.9590
54,514.4740,2.43801,1.04080,2.20405,0.323516,5.98499,0.00000,2.43840,2.21687,2,2,1,8,513.5290,2.9590
55,581.8680,2.44710,1.04080,2.49674,0.292824,6.06592,0.00000,2.44834,2.53672,2,2,1,8,559.1930,3.0010
56,515.0400,2.45455,1.04080,2.83448,0.337828,5.49045,0.00000,2.45455,2.83490,2,2,1,8,559.1930,3.0010
57,670.8510,2.45577,1.04080,2.88698,0.052515,6.73932,0.00000,2.45607,2.86557,2,2,1,8,646.7430,2.8570
58,245.6430,2.45830,1.04080,2.58357,0.303420,5.26068,0.00000,2.45846,2.56193,2,2,1,8,646.7430,2.8570
59,257.0730,2.46079,1.04080,2.24926,0.334327,6.34409,0.00000,2.46085,2.24193,2,2,1,8,236.5640,3.0330
60,510.1250,2.46294,1.04080,1.96194,0.287323,6.26862,0.00000,2.46324,1.92194,2,2,1,8,236.5640,3.0330
61,258.3470,2.46533,1.04080,1.64195,0.320000,5.38730,0.00000,2.46563,1.60195,2,2,1,8,236.5640,3.0330
62,253.7020,2.46775,1.04080,1.31778,0.324177,5.99997,0.00000,2.46802,1.28196,2,2,1,8,491.8240,3.0390
63,510.9490,2.47026,1.04080,0.98196,0.335828,6.07834,0.00000,2.47041,0.96197,2,2,1,8,491.8240,3.0390
64,245.8030,2.47250,1.04080,0.68198,0.299995,6.29678,0.00000,2.47280,0.64198,2,2,1,8,491.8240,3.0390
65,255.3090,2.47489,1.04080,0.36199,0.320000,5.62491,0.00000,2.47519,0.32199,2,2,1,8,485.5250,3.0590
66,509.5240,2.47744,1.04080,0.02009,0.341902,6.00000,0.00000,2.47758,0.00200,2,2,1,8,485.5250,3.0590
67,257.3910,2.47967,1.04080,-0.27800,0.298098,6.41064,0.00000,2.47997,-0.31800,2,2,1,8,485.5250,3.0590
68,251.3770,2.48208,1.04080,-0.60089,0.322906,5.58936,0.00000,2.48236,-0.63799,2,2,1,8,492.4250,2.9970
69,259.7760,2.48455,1.04080,-0.93205,0.331165,6.05447,0.00000,2.48475,-0.95798,2,2,1,8,492.4250,2.9970
70,769.9560,2.48709,1.04080,-1.27147,0.339434,6.20935,0.00000,2.48714,-1.27797,2,2,1,8,492.4250,2.9970
71,501.5450,2.48893,1.04080,-1.55435,0.282882,6.36438,0.00000,2.48893,-1.58713,2,2,1,8,755.7500,3.0550
72,245.9710,2.48915,1.04080,-1.68295,0.128603,5.37180,0.00000,2.48923,-1.66851,2,2,1,8,755.7500,3.0550
73,261.5580,2.48974,1.04080,-1.42148,0.261473,6.00000,0.00000,2.48981,-1.38350,2,2,1,8,236.9600,3.0870
74,503.4950,2.49036,1.04080,-1.08205,0.339428,6.03793,0.00000,2.49040,-1.06350,2,2,1,8,236.9600,3.0870
75,251.3300,2.49091,1.04080,-0.78350,0.298550,6.36426,0.00000,2.49098,-0.74350,2,2,1,8,236.9600,3.0870
76,254.6100,2.49149,1.04080,-0.46350,0.320000,5.59781,0.00000,2.49156,-0.42350,2,2,1,8,488.5680,3.2230
77,510.1910,2.49215,1.04080,-0.10350,0.360000,5.99997,0.00000,2.49215,-0.10350,2,2,1,8,488.5680,3.2230
78,249.4060,2.49266,1.04080,0.17649,0.280000,6.75003,0.00000,2.49273,0.21649,2,2,1,8,488.5680,3.2230
79,279.0280,2.49324,1.04080,0.49649,0.320000,5.25003,0.00000,2.49331,0.53649,3,3,2,8,489.4820,3.0370
80,224.0930,2.49382,1.04080,0.81649,0.320000,5.99997,0.00000,2.49390,0.85649,3,3,2,8,489.4820,3.0370
81,254.2640,2.49441,1.04080,1.13649,0.320000,6.00000,0.00000,2.49448,1.17649,3,3,2,8,489.4820,3.0370
82,555.0360,2.49499,1.04080,1.45649,0.320000,5.99997,0.00000,2.49506,1.49649,3,3,2,8,489.4820,3.0370
83,493.1180,2.49561,1.04080,1.79539,0.338893,6.00003,0.00000,2.49565,1.81649,3,3,2,8,536.4770,3.0710
84,243.0140,2.49619,1.04080,2.11524,0.319852,6.35425,0.00000,2.49623,2.13649,3,3,2,8,536.4770,3.0710
85,258.1230,2.49681,1.04080,2.45102,0.335787,5.99719,0.00000,2.49682,2.45649,3,3,2,8,238.0090,2.9990
86,494.4470,2.49733,1.04080,2.75937,0.308350,6.29602,0.00000,2.49733,2.77288,3,3,2,8,238.0090,2.9990
87,559.3700,2.49738,1.04080,2.90232,0.142945,5.82416,0.00000,2.49738,2.90149,3,3,2,8,238.0090,2.9990
88,486.1510,2.49751,1.04080,2.66846,0.233858,6.19562,0.00000,2.49752,2.64205,3,3,2,8,535.8980,3.0870
89,251.8270,2.49765,1.04080,2.34749,0.320969,5.58752,0.00000,2.49766,2.32205,3,3,2,8,231.6100,2.9130
90,254.6910,2.49780,1.04080,2.01336,0.334129,6.01819,0.00000,2.49780,2.00205,3,3,2,8,231.6100,2.9130
