frame,frame_ms,eye_x,eye_y,eye_z,step_m,yaw_step_deg,visual_error_m,body_x,body_z
61,5.3650,-1.67204,1.04083,-1.52783,0.000000,0.30000,0.00000,-1.67204,-1.52783
62,6.9040,-1.67204,1.04083,-1.52783,0.000000,0.30000,0.00000,-1.67204,-1.52783
63,8.4560,-1.63475,1.04083,-1.47664,0.063333,0.30000,0.00000,-1.63475,-1.47664
64,5.3460,-1.63475,1.04083,-1.47664,0.000000,0.30000,0.00000,-1.63475,-1.47664
65,8.4650,-1.59747,1.04083,-1.42544,0.063333,0.30000,0.00000,-1.59747,-1.42544
66,7.5370,-1.59747,1.04083,-1.42544,0.000000,0.30000,0.00000,-1.59747,-1.42544
67,4.7670,-1.59747,1.04083,-1.42544,0.000000,0.30000,0.00000,-1.59747,-1.42544
68,8.3680,-1.56018,1.04083,-1.37425,0.063333,0.30000,0.00000,-1.56018,-1.37425
69,5.3400,-1.56018,1.04083,-1.37425,0.000000,0.30000,0.00000,-1.56018,-1.37425
70,8.2890,-1.52289,1.04083,-1.32306,0.063333,0.30000,0.00000,-1.52289,-1.32306
71,5.5280,-1.52289,1.04083,-1.32306,0.000000,0.30000,0.00000,-1.52289,-1.32306
72,6.9040,-1.52289,1.04083,-1.32306,0.000000,0.30000,0.00000,-1.52289,-1.32306
73,10.9750,-1.48560,1.04083,-1.27186,0.063333,0.30000,0.00000,-1.48560,-1.27186
74,2.8070,-1.48560,1.04083,-1.27186,0.000000,0.30000,0.00000,-1.48560,-1.27186
75,8.4410,-1.44831,1.04083,-1.22067,0.063333,0.30000,0.00000,-1.44831,-1.22067
76,5.3920,-1.44831,1.04083,-1.22067,0.000000,0.30000,0.00000,-1.44831,-1.22067
77,6.8760,-1.44831,1.04083,-1.22067,0.000000,0.30000,0.00000,-1.44831,-1.22067
78,8.4430,-1.41103,1.04083,-1.16948,0.063333,0.30000,0.00000,-1.41103,-1.16948
79,5.3860,-1.41103,1.04083,-1.16948,0.000000,0.30000,0.00000,-1.41103,-1.16948
80,8.4290,-1.37374,1.04083,-1.11828,0.063333,0.30000,0.00000,-1.37374,-1.11828
81,5.3480,-1.37374,1.04083,-1.11828,0.000000,0.30000,0.00000,-1.37374,-1.11828
82,6.9610,-1.37374,1.04083,-1.11828,0.000000,0.30000,0.00000,-1.37374,-1.11828
83,8.3170,-1.33645,1.04083,-1.06709,0.063333,0.30000,0.00000,-1.33645,-1.06709
84,5.4250,-1.33645,1.04083,-1.06709,0.000000,0.30000,0.00000,-1.33645,-1.06709
85,8.4440,-1.29916,1.04083,-1.01590,0.063333,0.30000,0.00000,-1.29916,-1.01590
86,5.3980,-1.29916,1.04083,-1.01590,0.000000,0.30000,0.00000,-1.29916,-1.01590
87,6.8690,-1.29916,1.04083,-1.01590,0.000000,0.30000,0.00000,-1.29916,-1.01590
88,8.4490,-1.26187,1.04083,-0.96471,0.063333,0.30000,0.00000,-1.26187,-0.96471
89,5.3090,-1.26187,1.04083,-0.96471,0.000000,0.30000,0.00000,-1.26187,-0.96471
90,8.4260,-1.22459,1.04083,-0.91351,0.063333,0.30000,0.00000,-1.22459,-0.91351
91,5.3830,-1.22459,1.04083,-0.91351,0.000000,0.30000,0.00000,-1.22459,-0.91351
92,6.9320,-1.22459,1.04083,-0.91351,0.000000,0.30000,0.00000,-1.22459,-0.91351
93,8.3530,-1.18730,1.04083,-0.86232,0.063333,0.30304,0.00000,-1.18730,-0.86232
94,5.4120,-1.18730,1.04083,-0.86232,0.000000,0.31050,0.00000,-1.18730,-0.86232
95,8.3380,-1.15001,1.04083,-0.81113,0.063333,0.31041,0.00000,-1.15001,-0.81113
96,7.4580,-1.15001,1.04083,-0.81113,0.000000,0.31055,0.00000,-1.15001,-0.81113
97,6.4600,-1.11272,1.04083,-0.75993,0.063333,0.31050,0.00000,-1.11272,-0.75993
98,5.3570,-1.11272,1.04083,-0.75993,0.000000,0.31050,0.00000,-1.11272,-0.75993
99,6.8960,-1.11272,1.04083,-0.75993,0.000000,0.31050,0.00000,-1.11272,-0.75993
100,8.3440,-1.07543,1.04083,-0.70874,0.063333,0.31050,0.00000,-1.07543,-0.70874
101,5.4740,-1.07543,1.04083,-0.70874,0.000000,0.31050,0.00000,-1.07543,-0.70874
102,8.3860,-1.03815,1.04083,-0.65755,0.063333,0.31050,0.00000,-1.03815,-0.65755
103,5.4300,-1.03815,1.04083,-0.65755,0.000000,0.31050,0.00000,-1.03815,-0.65755
104,6.9010,-1.03815,1.04083,-0.65755,0.000000,0.31055,0.00000,-1.03815,-0.65755
105,8.5000,-1.00086,1.04083,-0.60636,0.063333,0.31050,0.00000,-1.00086,-0.60636
106,5.2810,-1.00086,1.04083,-0.60636,0.000000,0.31050,0.00000,-1.00086,-0.60636
107,8.4270,-0.96357,1.04083,-0.55516,0.063333,0.31050,0.00000,-0.96357,-0.55516
108,5.3510,-0.96357,1.04083,-0.55516,0.000000,0.31046,0.00000,-0.96357,-0.55516
109,8.3590,-0.92628,1.04083,-0.50397,0.063333,0.31050,0.00000,-0.92628,-0.50397
110,5.4650,-0.92628,1.04083,-0.50397,0.000000,0.31046,0.00000,-0.92628,-0.50397
111,6.8950,-0.92628,1.04083,-0.50397,0.000000,0.31059,0.00000,-0.92628,-0.50397
112,8.4640,-0.88899,1.04083,-0.45278,0.063333,0.31050,0.00000,-0.88899,-0.45278
113,6.1450,-0.88899,1.04083,-0.45278,0.000000,0.31050,0.00000,-0.88899,-0.45278
114,7.6750,-0.85171,1.04083,-0.40158,0.063333,0.31250,0.00000,-0.85171,-0.40158
115,5.3090,-0.85171,1.04083,-0.40158,0.000000,0.30850,0.00000,-0.85171,-0.40158
116,6.9260,-0.85171,1.04083,-0.40158,0.000000,0.31045,0.00000,-0.85171,-0.40158
117,8.4030,-0.81442,1.04083,-0.35039,0.063333,0.31055,0.00000,-0.81442,-0.35039
118,5.3910,-0.81442,1.04083,-0.35039,0.000000,0.31050,0.00000,-0.81442,-0.35039
119,8.4940,-0.77713,1.04083,-0.29920,0.063333,0.31050,0.00000,-0.77713,-0.29920
120,5.3180,-0.77713,1.04083,-0.29920,0.000000,0.31050,0.00000,-0.77713,-0.29920
121,6.8730,-0.77713,1.04083,-0.29920,0.000000,0.31050,0.00000,-0.77713,-0.29920
122,8.3810,-0.73984,1.04083,-0.24800,0.063333,0.31046,0.00000,-0.73984,-0.24800
123,5.4250,-0.73984,1.04083,-0.24800,0.000000,0.31050,0.00000,-0.73984,-0.24800
124,8.5130,-0.70255,1.04083,-0.19681,0.063333,0.31050,0.00000,-0.70255,-0.19681
125,7.1470,-0.70255,1.04083,-0.19681,0.000000,0.31054,0.00000,-0.70255,-0.19681
126,6.5080,-0.66527,1.04083,-0.14562,0.063333,0.31046,0.00000,-0.66527,-0.14562
127,5.4830,-0.66527,1.04083,-0.14562,0.000000,0.31050,0.00000,-0.66527,-0.14562
128,6.8430,-0.66527,1.04083,-0.14562,0.000000,0.31050,0.00000,-0.66527,-0.14562
129,8.4470,-0.62798,1.04083,-0.09443,0.063333,0.31050,0.00000,-0.62798,-0.09443
130,5.3600,-0.62798,1.04083,-0.09443,0.000000,0.31054,0.00000,-0.62798,-0.09443
131,8.3580,-0.59069,1.04083,-0.04323,0.063333,0.31050,0.00000,-0.59069,-0.04323
132,5.4350,-0.59069,1.04083,-0.04323,0.000000,0.31046,0.00000,-0.59069,-0.04323
133,6.9120,-0.59069,1.04083,-0.04323,0.000000,0.31050,0.00000,-0.59069,-0.04323
134,8.4340,-0.55340,1.04083,0.00796,0.063333,0.31050,0.00000,-0.55340,0.00796
