frame,frame_ms,eye_x,eye_y,eye_z,step_m,yaw_step_deg,visual_error_m,body_x,body_z
61,16.5360,-0.92597,1.04085,-0.50329,0.063333,0.75000,0.00218,-0.92597,-0.50329
62,21.1820,-1.89252,1.04037,-1.82727,1.639247,0.75000,1.39574,-1.89252,-1.82727
63,12.2830,-1.85521,1.04037,-1.77608,0.063333,0.75000,1.14273,-1.85521,-1.77608
64,16.7640,-1.82107,1.04083,-1.73191,0.055835,0.75000,0.94175,-1.82107,-1.73191
65,16.3600,-1.78378,1.04083,-1.68071,0.063333,0.75000,0.77104,-1.78378,-1.68071
66,17.1970,-1.74649,1.04083,-1.62952,0.063333,0.75000,0.63127,-1.74649,-1.62952
67,16.7660,-1.70920,1.04083,-1.57833,0.063333,0.75000,0.51684,-1.70920,-1.57833
68,15.9860,-1.67191,1.04083,-1.52714,0.063333,0.75000,0.42316,-1.67191,-1.52714
69,17.0280,-1.63462,1.04083,-1.47595,0.063333,0.75000,0.34645,-1.63462,-1.47595
70,16.7460,-1.59733,1.04083,-1.42476,0.063333,0.75000,0.28365,-1.59733,-1.42476
71,16.4420,-1.56004,1.04083,-1.37357,0.063333,0.75000,0.23223,-1.56004,-1.37357
72,16.8340,-1.52275,1.04083,-1.32238,0.063333,0.75000,0.19014,-1.52275,-1.32238
73,16.5270,-1.48546,1.04083,-1.27118,0.063333,0.75000,0.15567,-1.48546,-1.27118
74,16.9580,-1.44817,1.04083,-1.21999,0.063333,0.74999,0.12745,-1.44817,-1.21999
75,21.3560,-1.41088,1.04083,-1.16880,0.063333,0.75000,0.10435,-1.41088,-1.16880
76,12.0210,-1.37359,1.04083,-1.11761,0.063333,0.75000,0.08543,-1.37359,-1.11761
77,16.1160,-1.33630,1.04083,-1.06642,0.063333,0.75000,0.06995,-1.33630,-1.06642
78,17.0310,-1.29901,1.04083,-1.01523,0.063333,0.75000,0.05727,-1.29901,-1.01523
79,16.5720,-1.26172,1.04083,-0.96404,0.063333,0.75001,0.04689,-1.26172,-0.96404
80,16.9150,-1.22443,1.04083,-0.91284,0.063333,0.75000,0.03839,-1.22443,-0.91284
81,16.8330,-1.18714,1.04083,-0.86165,0.063333,0.74999,0.03143,-1.18714,-0.86165
82,16.7320,-1.14985,1.04083,-0.81046,0.063333,0.75000,0.02573,-1.14985,-0.81046
83,539.2160,-0.85153,1.04083,-0.40093,0.506667,0.75000,0.00520,-0.85153,-0.40093
84,5.6740,-0.77695,1.04083,-0.29855,0.126667,6.48314,0.00348,-0.77695,-0.29855
85,6.0120,-0.73966,1.04083,-0.24736,0.063333,1.11672,0.00285,-0.73966,-0.24736
86,17.9120,-0.70237,1.04083,-0.19617,0.063333,0.45925,0.00233,-0.70237,-0.19617
87,16.0370,-0.66508,1.04083,-0.14497,0.063333,0.75000,0.00191,-0.66508,-0.14497
88,16.4170,-0.62779,1.04083,-0.09378,0.063333,0.93750,0.00156,-0.62779,-0.09378
89,16.9090,-0.59050,1.04083,-0.04259,0.063333,0.87798,0.00128,-0.59050,-0.04259
90,16.5780,-0.55321,1.04083,0.00860,0.063333,0.75038,0.00105,-0.55321,0.00860
91,16.6810,-0.51592,1.04083,0.05979,0.063333,0.75172,0.00000,-0.51592,0.05979
92,16.7610,-1.48548,1.04083,-1.27117,1.646665,0.74966,1.40003,-1.48548,-1.27117
93,16.6410,-1.44819,1.04083,-1.21998,0.063333,0.74876,1.14625,-1.44819,-1.21998
94,16.5600,-1.41090,1.04083,-1.16879,0.063333,0.75244,0.93847,-1.41090,-1.16879
95,18.2210,-1.37361,1.04083,-1.11760,0.063333,0.75024,0.76835,-1.37361,-1.11760
96,17.9400,-1.33632,1.04083,-1.06640,0.063333,0.73664,0.62907,-1.33632,-1.06640
97,13.9950,-1.29903,1.04083,-1.01521,0.063333,0.75000,0.51504,-1.29903,-1.01521
98,16.5290,-1.26174,1.04083,-0.96402,0.063333,0.75000,0.42168,-1.26174,-0.96402
99,17.0480,-1.22445,1.04083,-0.91283,0.063333,0.75001,0.34524,-1.22445,-0.91283
100,17.2170,-1.18716,1.04083,-0.86164,0.063333,0.75000,0.28266,-1.18716,-0.86164
101,16.3370,-1.14986,1.04083,-0.81045,0.063333,0.75000,0.23142,-1.14986,-0.81045
102,16.4160,-1.11257,1.04083,-0.75926,0.063333,0.75000,0.18947,-1.11257,-0.75926
103,16.7260,-1.07528,1.04083,-0.70807,0.063333,0.75000,0.15513,-1.07528,-0.70807
104,16.5320,-1.03799,1.04083,-0.65687,0.063333,0.74999,0.12701,-1.03799,-0.65687
105,16.5400,-1.00070,1.04083,-0.60568,0.063333,0.75000,0.10398,-1.00070,-0.60568
106,16.7350,-0.96341,1.04083,-0.55449,0.063333,0.75000,0.08514,-0.96341,-0.55449
107,16.6370,-0.92612,1.04083,-0.50330,0.063333,0.75000,0.06970,-0.92612,-0.50330
108,21.0820,-0.88883,1.04083,-0.45211,0.063333,0.75000,0.05707,-0.88883,-0.45211
109,12.5690,-0.85154,1.04083,-0.40092,0.063333,0.75000,0.04672,-0.85154,-0.40092
110,17.0970,-0.81425,1.04083,-0.34973,0.063333,0.75000,0.03825,-0.81425,-0.34973
111,16.4720,-0.77696,1.04083,-0.29854,0.063333,0.75001,0.03132,-0.77696,-0.29854
112,16.8270,-0.73967,1.04083,-0.24734,0.063333,0.75000,0.02564,-0.73967,-0.24734
113,16.4810,-0.70238,1.04083,-0.19615,0.063333,0.75000,0.02099,-0.70238,-0.19615
114,539.2540,-0.40406,1.04083,0.21338,0.506667,0.75000,0.00424,-0.40406,0.21338
115,5.5240,-1.33631,1.04083,-1.06641,1.583333,5.69467,1.14909,-1.33631,-1.06641
116,3.5420,-1.33631,1.04083,-1.06641,0.000000,1.50000,1.14909,-1.33631,-1.06641
117,19.3090,-1.29902,1.04083,-1.01521,0.063333,0.04606,0.94079,-1.29902,-1.01521
118,16.3720,-1.26173,1.04083,-0.96402,0.063333,0.71267,0.77026,-1.26173,-0.96402
119,17.2150,-1.22444,1.04083,-0.91283,0.063333,0.75000,0.63063,-1.22444,-0.91283
120,16.6310,-1.18715,1.04083,-0.86164,0.063333,0.75000,0.51632,-1.18715,-0.86164
121,16.4130,-1.14986,1.04083,-0.81045,0.063333,0.75000,0.42273,-1.14986,-0.81045
122,16.7760,-1.11257,1.04083,-0.75926,0.063333,0.75000,0.34610,-1.11257,-0.75926
123,16.4660,-1.07528,1.04083,-0.70807,0.063333,0.75000,0.28336,-1.07528,-0.70807
124,13.9170,-1.07528,1.04083,-0.70807,0.000000,0.75000,0.28336,-1.07528,-0.70807
125,19.8320,-1.03799,1.04083,-0.65688,0.063333,0.66667,0.23200,-1.03799,-0.65688
126,16.4510,-1.00070,1.04083,-0.60568,0.063333,0.66666,0.18994,-1.00070,-0.60568
127,18.3060,-0.96341,1.04083,-0.55449,0.063333,0.66668,0.15551,-0.96341,-0.55449
128,14.8980,-0.92612,1.04083,-0.50330,0.063333,0.66666,0.12732,-0.92612,-0.50330
129,16.8970,-0.88883,1.04083,-0.45211,0.063333,0.71318,0.10424,-0.88883,-0.45211
130,16.7430,-0.85154,1.04083,-0.40092,0.063333,0.75181,0.08535,-0.85154,-0.40092
131,16.6330,-0.81425,1.04083,-0.34973,0.063333,0.74831,0.06988,-0.81425,-0.34973
132,16.6750,-0.77696,1.04083,-0.29854,0.063333,0.75516,0.05721,-0.77696,-0.29854
133,16.5090,-0.73967,1.04083,-0.24735,0.063333,0.73418,0.04684,-0.73967,-0.24735
134,17.3370,-0.70238,1.04083,-0.19615,0.063333,0.76341,0.03835,-0.70238,-0.19615
135,15.8790,-0.66509,1.04083,-0.14496,0.063333,0.75114,0.03140,-0.66509,-0.14496
136,16.5660,-0.62780,1.04083,-0.09377,0.063333,0.74826,0.02571,-0.62780,-0.09377
137,16.6880,-0.59051,1.04083,-0.04258,0.063333,0.75000,0.02105,-0.59051,-0.04258
138,16.8400,-0.55322,1.04083,0.00861,0.063333,0.75021,0.01723,-0.55322,0.00861
139,16.4300,-0.51593,1.04083,0.05980,0.063333,0.75069,0.01411,-0.51593,0.05980
140,19.0760,-0.47864,1.04083,0.11099,0.063333,0.74999,0.01155,-0.47864,0.11099
141,14.8840,-0.44135,1.04083,0.16219,0.063333,0.75085,0.00946,-0.44135,0.16219
142,16.2630,-1.41089,1.04083,-1.16879,1.646666,0.75087,1.40777,-1.41089,-1.16879
143,16.6580,-1.37360,1.04083,-1.11760,0.063333,0.74999,1.15259,-1.37360,-1.11760
144,16.5880,-1.33631,1.04083,-1.06640,0.063333,0.75000,0.94366,-1.33631,-1.06640
145,533.3600,-1.03799,1.04083,-0.65687,0.506667,0.75000,0.19052,-1.03799,-0.65687
146,7.7050,-1.00070,1.04083,-0.60568,0.063333,5.60655,0.15599,-1.00070,-0.60568
147,9.3570,-0.96341,1.04083,-0.55449,0.063333,0.91234,0.12771,-0.96341,-0.55449
148,16.7320,-0.92612,1.04083,-0.50330,0.063333,0.61894,0.10456,-0.92612,-0.50330
149,16.5800,-0.88883,1.04083,-0.45211,0.063333,0.74956,0.08561,-0.88883,-0.45211
150,16.5040,-0.85154,1.04083,-0.40092,0.063333,0.75128,0.07009,-0.85154,-0.40092
151,16.8650,-0.81425,1.04083,-0.34973,0.063333,0.75000,0.05738,-0.81425,-0.34973
152,16.7670,-0.77696,1.04083,-0.29853,0.063333,0.75000,0.04698,-0.77696,-0.29853
153,16.6030,-0.73967,1.04083,-0.24734,0.063333,0.75000,0.03847,-0.73967,-0.24734
154,16.7750,-0.70238,1.04083,-0.19615,0.063333,0.75145,0.03149,-0.70238,-0.19615
155,16.5600,-0.66509,1.04083,-0.14496,0.063333,0.75000,0.02578,-0.66509,-0.14496
156,16.6140,-0.62780,1.04083,-0.09377,0.063333,0.75000,0.02111,-0.62780,-0.09377
157,16.6960,-0.59051,1.04083,-0.04258,0.063333,0.75000,0.01728,-0.59051,-0.04258
158,16.5060,-0.55322,1.04083,0.00861,0.063333,0.75000,0.01415,-0.55322,0.00861
159,21.7900,-0.51593,1.04083,0.05980,0.063333,0.75000,0.01159,-0.51593,0.05980
160,12.0920,-0.47864,1.04083,0.11100,0.063333,0.75000,0.00949,-0.47864,0.11100
161,16.4190,-0.44135,1.04083,0.16219,0.063333,0.75024,0.00777,-0.44135,0.16219
162,16.9100,-0.40406,1.04083,0.21338,0.063333,0.75204,0.00636,-0.40406,0.21338
163,16.6150,-0.36677,1.04083,0.26457,0.063333,0.74998,0.00521,-0.36677,0.26457
164,17.1540,-0.32948,1.04083,0.31576,0.063333,0.75000,0.00426,-0.32948,0.31576
165,15.9470,-0.29218,1.04083,0.36695,0.063333,0.75105,0.00349,-0.29218,0.36695
166,16.5450,-0.25489,1.04083,0.41814,0.063333,0.75000,0.00286,-0.25489,0.41814
167,17.0920,-0.21760,1.04083,0.46933,0.063333,0.74998,0.00234,-0.21760,0.46933
168,16.2230,-0.18031,1.04083,0.52053,0.063333,0.75032,0.00192,-0.18031,0.52053
169,16.9500,-0.14302,1.04083,0.57172,0.063333,0.75000,0.00157,-0.14302,0.57172
170,16.4720,-1.11257,1.04083,-0.75926,1.646667,0.75000,1.40131,-1.11257,-0.75926
171,18.3950,-1.07528,1.04083,-0.70807,0.063333,0.75000,1.14730,-1.07528,-0.70807
172,14.8260,-1.03799,1.04083,-0.65687,0.063333,0.75000,0.93933,-1.03799,-0.65687
173,16.8190,-1.00070,1.04083,-0.60568,0.063333,0.75047,0.76906,-1.00070,-0.60568
174,16.5550,-0.96341,1.04083,-0.55449,0.063333,0.75114,0.62965,-0.96341,-0.55449
175,16.9470,-0.92612,1.04083,-0.50330,0.063333,0.75000,0.51551,-0.92612,-0.50330
176,532.9360,-0.62780,1.04083,-0.09377,0.506667,0.75031,0.10408,-0.62780,-0.09377
177,6.9360,-0.59051,1.04083,-0.04258,0.063333,5.96088,0.08521,-0.59051,-0.04258
178,10.0610,-0.55322,1.04083,0.00861,0.063333,0.92555,0.06977,-0.55322,0.00861
179,16.8080,-0.51593,1.04083,0.05980,0.063333,0.62590,0.05712,-0.51593,0.05980
180,16.5870,-0.47864,1.04083,0.11100,0.063333,0.74741,0.04677,-0.47864,0.11100
181,16.8450,-0.44135,1.04083,0.16219,0.063333,0.75122,0.03829,-0.44135,0.16219
182,17.0990,-0.40406,1.04083,0.21338,0.063333,0.75060,0.03135,-0.40406,0.21338
183,16.0350,-0.36677,1.04083,0.26457,0.063333,0.75026,0.02567,-0.36677,0.26457
184,17.0440,-0.32948,1.04083,0.31576,0.063333,0.74998,0.02101,-0.32948,0.31576
185,16.4760,-0.29218,1.04083,0.36695,0.063333,0.75000,0.01720,-0.29218,0.36695
186,16.9060,-0.25489,1.04083,0.41814,0.063333,0.75000,0.01409,-0.25489,0.41814
187,16.3430,-0.21760,1.04083,0.46933,0.063333,0.75011,0.01153,-0.21760,0.46933
188,16.8030,-0.18031,1.04083,0.52053,0.063333,0.75029,0.00944,-0.18031,0.52053
189,16.5020,-0.14302,1.04083,0.57172,0.063333,0.75000,0.00773,-0.14302,0.57172
190,22.1510,-0.10573,1.04083,0.62291,0.063333,0.75000,0.00633,-0.10573,0.62291
191,11.3070,-0.06844,1.04083,0.67410,0.063333,0.75009,0.00518,-0.06844,0.67410
192,16.8060,-1.03799,1.04083,-0.65687,1.646667,0.75096,1.40427,-1.03799,-0.65687
193,16.5930,-1.00070,1.04083,-0.60568,0.063333,0.75000,1.14972,-1.00070,-0.60568
194,16.9690,-0.96341,1.04083,-0.55449,0.063333,0.75000,0.94131,-0.96341,-0.55449
195,16.2590,-0.92612,1.04083,-0.50330,0.063333,0.75554,0.77068,-0.92612,-0.50330
196,16.6800,-0.88883,1.04083,-0.45211,0.063333,0.75000,0.63098,-0.88883,-0.45211
197,16.8060,-0.85154,1.04083,-0.40092,0.063333,0.75000,0.51660,-0.85154,-0.40092
198,16.5190,-0.81425,1.04083,-0.34973,0.063333,0.75000,0.42296,-0.81425,-0.34973
199,16.6790,-0.77696,1.04083,-0.29853,0.063333,0.74998,0.34629,-0.77696,-0.29853
200,17.0540,-0.73967,1.04083,-0.24734,0.063333,0.75000,0.28352,-0.73967,-0.24734
201,16.7560,-0.70238,1.04083,-0.19615,0.063333,0.75092,0.23212,-0.70238,-0.19615
202,18.3190,-0.66509,1.04083,-0.14496,0.063333,0.75145,0.19005,-0.66509,-0.14496
203,14.7000,-0.62780,1.04083,-0.09377,0.063333,0.74998,0.15560,-0.62780,-0.09377
204,16.5880,-0.59051,1.04083,-0.04258,0.063333,0.75002,0.12739,-0.59051,-0.04258
205,16.5410,-0.55322,1.04083,0.00861,0.063333,0.74998,0.10430,-0.55322,0.00861
206,16.8120,-0.51593,1.04083,0.05980,0.063333,0.75002,0.08539,-0.51593,0.05980
207,533.3770,-0.21760,1.04083,0.46933,0.506667,0.75002,0.01724,-0.21760,0.46933
208,5.2010,-0.18031,1.04083,0.52053,0.063333,5.93973,0.01412,-0.18031,0.52053
209,11.7670,-0.14302,1.04083,0.57172,0.063333,0.96048,0.01156,-0.14302,0.57172
210,16.8610,-0.10573,1.04083,0.62291,0.063333,0.60988,0.00946,-0.10573,0.62291
211,16.6310,-0.06844,1.04083,0.67410,0.063333,0.74669,0.00775,-0.06844,0.67410
212,16.8290,-0.03115,1.04083,0.72529,0.063333,0.75424,0.00634,-0.03115,0.72529
213,16.3830,0.00614,1.04083,0.77648,0.063333,0.75000,0.00519,0.00614,0.77648
214,17.5330,0.04343,1.04083,0.82767,0.063333,0.75002,0.00425,0.04343,0.82767
215,15.8820,0.08072,1.04083,0.87886,0.063333,0.74998,0.00348,0.08072,0.87886
216,16.8080,-0.85154,1.04083,-0.40092,1.583333,0.75137,1.35103,-0.85154,-0.40092
217,16.3190,-0.81425,1.04083,-0.34973,0.063333,0.75015,1.10613,-0.81425,-0.34973
218,16.6860,-0.77696,1.04083,-0.29853,0.063333,0.74998,0.90562,-0.77696,-0.29853
219,17.2590,-0.73967,1.04083,-0.24734,0.063333,0.75002,0.74146,-0.73967,-0.24734
220,16.4380,-0.70238,1.04083,-0.19615,0.063333,0.75031,0.60706,-0.70238,-0.19615
221,21.2420,-0.66509,1.04083,-0.14496,0.063333,0.75214,0.49701,-0.66509,-0.14496
222,11.7900,-0.62780,1.04083,-0.09377,0.063333,0.74998,0.40692,-0.62780,-0.09377
223,16.7730,-0.59051,1.04083,-0.04258,0.063333,0.75002,0.33316,-0.59051,-0.04258
224,16.8650,-0.55322,1.04083,0.00861,0.063333,0.74998,0.27277,-0.55322,0.00861
225,16.5460,-0.51593,1.04083,0.05980,0.063333,0.75061,0.22332,-0.51593,0.05980
226,16.8460,-0.47864,1.04083,0.11100,0.063333,0.75000,0.18284,-0.47864,0.11100
227,16.4720,-0.44135,1.04083,0.16219,0.063333,0.75133,0.14970,-0.44135,0.16219
228,16.5410,-0.40406,1.04083,0.21338,0.063333,0.75075,0.12256,-0.40406,0.21338
229,16.6650,-0.36677,1.04083,0.26457,0.063333,0.75002,0.10035,-0.36677,0.26457
230,16.6760,-0.32948,1.04083,0.31576,0.063333,0.74998,0.08216,-0.32948,0.31576
231,17.0010,-0.29218,1.04083,0.36695,0.063333,0.75002,0.06726,-0.29218,0.36695
232,16.3560,-0.25489,1.04083,0.41814,0.063333,0.74998,0.05507,-0.25489,0.41814
233,18.3400,-0.21760,1.04083,0.46933,0.063333,0.75000,0.04509,-0.21760,0.46933
234,15.6150,-0.18031,1.04083,0.52053,0.063333,0.75003,0.03692,-0.18031,0.52053
235,16.4940,-0.14302,1.04083,0.57172,0.063333,0.75287,0.03022,-0.14302,0.57172
236,16.0670,-0.10573,1.04083,0.62291,0.063333,0.76302,0.02474,-0.10573,0.62291
237,536.8910,0.19259,1.04083,1.03244,0.506667,0.74998,0.00500,0.19259,1.03244
238,10.5070,0.26717,1.04083,1.13482,0.126667,5.90616,0.00335,0.26717,1.13482
239,1.1070,0.26717,1.04083,1.13482,0.000000,1.50003,0.00335,0.26717,1.13482
240,19.1600,0.30446,1.04083,1.18601,0.063333,0.11432,0.00274,0.30446,1.18601
241,16.6040,0.34175,1.04083,1.23720,0.063333,0.74348,0.00224,0.34175,1.23720
242,16.5800,0.37904,1.04083,1.28839,0.063333,0.75000,0.00184,0.37904,1.28839
243,16.9010,0.41633,1.04083,1.33959,0.063333,0.75000,0.00150,0.41633,1.33959
244,16.7000,0.45362,1.04083,1.39078,0.063333,0.74998,0.00123,0.45362,1.39078
245,16.6130,0.49091,1.04083,1.44197,0.063333,0.75002,0.00101,0.49091,1.44197
246,16.7600,0.52820,1.04083,1.49316,0.063333,0.75002,0.00000,0.52820,1.49316
247,16.5130,0.56549,1.04083,1.54435,0.063333,0.74998,0.00000,0.56549,1.54435
248,16.6830,0.60278,1.04083,1.59554,0.063333,0.75002,0.00000,0.60278,1.59554
